iter	AUC:type=Mu	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5
72	0.8787805563	1.32742599	0.5748230536	0	0	0.5819592629	0.6638370119	0.2625298329	0
73	0.879131325	1.323696969	0.5758341759	0	0	0.5835748792	0.6643981285	0.2666666667	0
74	0.8797907278	1.320202957	0.5768452983	0	0	0.5868725869	0.6646783127	0.2695035461	0
75	0.8802186528	1.316732139	0.5758341759	0	0	0.5863066538	0.6638261611	0.2654028436	0
76	0.8804008723	1.313373602	0.5758341759	0	0	0.5871029836	0.6635394456	0.2654028436	0
77	0.8809158497	1.309977735	0.5753286148	0	0	0.5863066538	0.6629692833	0.2682352941	0
78	0.8818509463	1.306187335	0.5763397371	0	0	0.5863066538	0.6635354398	0.2763466042	0
79	0.8827016649	1.302705975	0.5758341759	0	0	0.5843780135	0.6638188808	0.2757009346	0
80	0.8836785582	1.299674293	0.5758341759	0	0	0.5818882466	0.6638188808	0.281030445	0
81	0.8837803886	1.296561776	0.5758341759	0	0	0.5805207329	0.6635314237	0.288372093	0
82	0.884141742	1.293454729	0.578867543	0	0	0.5857418112	0.6660966225	0.289044289	0
83	0.8844607012	1.290605349	0.578867543	0	0	0.5855072464	0.6660973527	0.289044289	0
84	0.8847136452	1.287646118	0.5778564206	0	0	0.5835748792	0.6652433817	0.289044289	0
85	0.8851191693	1.284302604	0.5778564206	0	0	0.583011583	0.6655275523	0.289044289	0
86	0.8855126659	1.28093173	0.5793731041	0	0	0.5863066538	0.6660966225	0.2930232558	0
87	0.8850945362	1.277963803	0.5793731041	0	0	0.5855072464	0.6658119658	0.2969837587	0
88	0.8858882585	1.27451158	0.5798786653	0	0	0.5878962536	0.666380789	0.2956120092	0
89	0.8863149692	1.271518487	0.5813953488	0	0	0.5903846154	0.6675235647	0.2962962963	0
90	0.8877335557	1.268588929	0.5813953488	0	0	0.5898174832	0.6675246675	0.2995391705	0
91	0.8878927987	1.265439535	0.5813953488	0	0	0.5903846154	0.6675246675	0.2988505747	0
92	0.8880001821	1.262561947	0.5808897877	0	0	0.5911708253	0.6669527897	0.2949308756	0
93	0.8884539648	1.259961094	0.5808897877	0	0	0.5906040268	0.6669527897	0.2956120092	0
94	0.8886435829	1.257388172	0.5803842265	0	0	0.5886864813	0.6666666667	0.2962962963	0
95	0.8893649758	1.254543017	0.578867543	0	0	0.5873320537	0.6655231561	0.2916666667	0
96	0.890048251	1.251831642	0.578867543	0	0	0.5886864813	0.664950665	0.2916666667	0
97	0.8905191657	1.248848468	0.5793731041	0	0	0.5900383142	0.6649484536	0.2949308756	0
98	0.8907657471	1.245982837	0.5824064712	0	0	0.5933014354	0.6669535284	0.3066361556	0
99	0.8907834493	1.24337589	0.58190091	0	0	0.591954023	0.6666666667	0.3066361556	0
100	0.8909976424	1.24086386	0.5813953488	0	0	0.5906040268	0.6663800516	0.3066361556	0
101	0.8918685643	1.238226743	0.58190091	0	0	0.591954023	0.6666666667	0.3066361556	0
102	0.8920508311	1.235561373	0.5824064712	0	0	0.5913875598	0.6675268817	0.3073394495	0
103	0.8925387148	1.233064325	0.5829120324	0	0	0.5935114504	0.6678155967	0.3066361556	0
104	0.8928822803	1.230813418	0.5829120324	0	0	0.5935114504	0.6678155967	0.3066361556	0
105	0.893310344	1.228172785	0.5834175935	0	0	0.5935114504	0.6683893196	0.3073394495	0
106	0.8935945933	1.225385151	0.58190091	0	0	0.5916030534	0.6672421234	0.3083900227	0
107	0.8935362462	1.222920406	0.5824064712	0	0	0.5916030534	0.6675302245	0.3122171946	0
108	0.8937258797	1.220448175	0.5824064712	0	0	0.5929456625	0.6678185745	0.3076923077	0
109	0.8941900012	1.218126794	0.5824064712	0	0	0.5929456625	0.6681071737	0.3069977427	0
110	0.8947330295	1.215819633	0.5839231547	0	0	0.5961904762	0.6692607004	0.3069977427	0
111	0.8953636657	1.213538568	0.5844287159	0	0	0.5961904762	0.6698357822	0.3076923077	0
112	0.8955274991	1.211147374	0.584934277	0	0	0.5961904762	0.6701253783	0.3115124153	0
113	0.8959597557	1.208864451	0.584934277	0	0	0.595623216	0.6704152249	0.3115124153	0
114	0.8967939258	1.206586976	0.5829120324	0	0	0.5961904762	0.6681071737	0.3031674208	0
115	0.8972425894	1.204279233	0.5834175935	0	0	0.5975261656	0.6683960225	0.3031674208	0
116	0.8975875734	1.202014214	0.58190091	0	0	0.5948522402	0.6675313446	0.3018018018	0
117	0.89809088	1.199672935	0.5824064712	0	0	0.595623216	0.6675335934	0.3080357143	0
118	0.8982062583	1.197529591	0.5824064712	0	0	0.595623216	0.6675335934	0.3080357143	0
119	0.8984228063	1.195219383	0.5824064712	0	0	0.595623216	0.6672443674	0.3087248322	0
120	0.8983317755	1.193157468	0.5824064712	0	0	0.595623216	0.6675335934	0.3080357143	0
121	0.8982811768	1.191190111	0.5829120324	0	0	0.595623216	0.6678230703	0.3118040089	0
122	0.8990777368	1.189035238	0.5824064712	0	0	0.595623216	0.6675335934	0.3080357143	0
123	0.8991702129	1.187087687	0.5844287159	0	0	0.5975261656	0.6692674469	0.3125	0
124	0.8994084591	1.184985867	0.5854398382	0	0	0.5994291151	0.6698481562	0.3155555556	0
125	0.900020266	1.182890254	0.5859453994	0	0	0.5994291151	0.6701388889	0.3192904656	0
126	0.9003183749	1.181027875	0.5859453994	0	0	0.5988593156	0.6701388889	0.32	0
127	0.9004355461	1.179002733	0.5859453994	0	0	0.5988593156	0.6701388889	0.32	0
128	0.9008013561	1.176925455	0.5869565217	0	0	0.5994291151	0.6707211121	0.3267108168	0
129	0.9011520805	1.175086202	0.5859453994	0	0	0.5988593156	0.6701434159	0.3222958057	0
130	0.901390939	1.173166017	0.5874620829	0	0	0.5994291151	0.6710126032	0.3303964758	0
131	0.9015615821	1.171246375	0.5869565217	0	0	0.5994291151	0.6710126032	0.3259911894	0
132	0.9020588781	1.169430272	0.5874620829	0	0	0.5994291151	0.6713043478	0.3296703297	0
133	0.9022459747	1.167385943	0.5894843276	0	0	0.6020892688	0.6724738676	0.3369803063	0
134	0.9025136606	1.165650848	0.5879676441	0	0	0.6001899335	0.6710239651	0.3362445415	0
135	0.9029232409	1.163572217	0.5889787664	0	0	0.6015180266	0.6718954248	0.3369803063	0
136	0.9032566945	1.161738034	0.5889787664	0	0	0.6007604563	0.6721811058	0.3369803063	0
137	0.9034989614	1.159989107	0.5894843276	0	0	0.6013320647	0.6721883173	0.3427331887	0
138	0.904076991	1.157862269	0.5894843276	0	0	0.6001899335	0.6721955478	0.3463203463	0
139	0.9040647369	1.156033503	0.5899898888	0	0	0.6015180266	0.6727748691	0.3434782609	0
140	0.9047147294	1.154168639	0.5910010111	0	0	0.6028436019	0.6733624454	0.3470715835	0
141	0.9049035793	1.152373904	0.5925176946	0	0	0.6047393365	0.6745303626	0.3506493506	0
142	0.9052271506	1.150762866	0.5925176946	0	0	0.6047393365	0.6745303626	0.3506493506	0
143	0.9055988809	1.149054858	0.5930232558	0	0	0.6060606061	0.6745406824	0.3534482759	0
144	0.9056888137	1.147430843	0.5930232558	0	0	0.6047393365	0.6745406824	0.3569892473	0
145	0.9059122573	1.145644865	0.5915065723	0	0	0.6034155598	0.6727909011	0.356223176	0
146	0.9065061623	1.143742336	0.5920121335	0	0	0.6034155598	0.673380035	0.358974359	0
147	0.9071795244	1.141970702	0.5920121335	0	0	0.6034155598	0.6730853392	0.3597430407	0
148	0.9075585732	1.140318129	0.5920121335	0	0	0.6034155598	0.673380035	0.358974359	0
149	0.9078939646	1.13865273	0.5925176946	0	0	0.6028436019	0.6742556918	0.3597430407	0
150	0.9081265959	1.137050214	0.5930232558	0	0	0.6041666667	0.6745510293	0.3597430407	0
151	0.9081950233	1.135539186	0.593528817	0	0	0.6047393365	0.6751313485	0.3597430407	0
152	0.908374382	1.133951039	0.5925176946	0	0	0.6041666667	0.6739702016	0.358974359	0
153	0.9088527153	1.132508239	0.5930232558	0	0	0.6047393365	0.6745510293	0.358974359	0
154	0.9089524336	1.131065207	0.5915065723	0	0	0.6041666667	0.673380035	0.3519313305	0
155	0.9094436257	1.129469449	0.5925176946	0	0	0.605487228	0.6742556918	0.352688172	0
156	0.909482061	1.127765459	0.593528817	0	0	0.606805293	0.6751313485	0.3534482759	0
157	0.9097058789	1.12645933	0.5930232558	0	0	0.606805293	0.6745510293	0.352688172	0
158	0.9101761023	1.124745902	0.5930232558	0	0	0.6081208687	0.674265673	0.3519313305	0
159	0.9104386607	1.123172861	0.593528817	0	0	0.6081208687	0.6751424814	0.3519313305	0
160	0.910785575	1.121692546	0.593528817	0	0	0.6094339623	0.6748573936	0.3511777302	0
161	0.9113280389	1.120242368	0.5930232558	0	0	0.6081208687	0.6745614035	0.3511777302	0
162	0.9115570017	1.118663276	0.593528817	0	0	0.6081208687	0.6748573936	0.3547008547	0
163	0.9116640243	1.117406182	0.5940343782	0	0	0.6081208687	0.6754385965	0.3554603854	0
164	0.911605197	1.115992994	0.5940343782	0	0	0.6081208687	0.6751536435	0.3582089552	0
165	0.9123714534	1.114388425	0.5955510617	0	0.02597402597	0.6113207547	0.6757469244	0.3582089552	0
166	0.9124123381	1.112974622	0.5950455005	0	0	0.6107445806	0.6757469244	0.3582089552	0
167	0.9124886734	1.111644884	0.5955510617	0	0	0.6120527307	0.676043956	0.3582089552	0
168	0.9125759342	1.1101943	0.5950455005	0	0	0.6120527307	0.6757469244	0.3547008547	0
169	0.9129432039	1.108891651	0.5945399393	0	0	0.6120527307	0.6754501537	0.3511777302	0
170	0.9131776829	1.107686742	0.5950455005	0	0.02597402597	0.6126295947	0.6754501537	0.3511777302	0
171	0.9133384425	1.106392326	0.5960566229	0	0.02597402597	0.6126295947	0.6763285024	0.3554603854	0
172	0.9136939846	1.105154322	0.5950455005	0	0.02597402597	0.6113207547	0.6757349715	0.3519313305	0
173	0.9138176504	1.103862513	0.5950455005	0	0.02597402597	0.6113207547	0.6757349715	0.3519313305	0
174	0.9139402497	1.102706571	0.5955510617	0	0.02597402597	0.6126295947	0.6760316067	0.3519313305	0
175	0.914171472	1.101440577	0.5960566229	0	0.05128205128	0.611898017	0.6760316067	0.3554603854	0
176	0.9143133725	1.099988041	0.5960566229	0	0.05128205128	0.611898017	0.6760316067	0.3554603854	0
177	0.9145727869	1.098847901	0.5960566229	0	0.05128205128	0.6130558184	0.6760192898	0.3519313305	0
178	0.9150527116	1.097488312	0.5970677452	0	0.05128205128	0.6130558184	0.6768960982	0.356223176	0
179	0.9153688847	1.096130387	0.5975733064	0	0.05128205128	0.6124763705	0.6774901272	0.3597430407	0
180	0.9156079621	1.094891492	0.5975733064	0	0.05128205128	0.6124763705	0.6774901272	0.3597430407	0
181	0.9159959707	1.093690859	0.5980788675	0	0.05128205128	0.6130558184	0.6780701754	0.3597430407	0
182	0.9162179972	1.092399129	0.5985844287	0	0.07594936709	0.6130558184	0.6780851998	0.3624733475	0
183	0.9163574693	1.091209046	0.5985844287	0	0.07594936709	0.6130558184	0.6778021978	0.3651804671	0
184	0.9166428989	1.089947466	0.5980788675	0	0.05128205128	0.6130558184	0.6775043937	0.3651804671	0
185	0.9168881443	1.088584861	0.5985844287	0	0.07594936709	0.6124763705	0.6781002639	0.3651804671	0
186	0.9172284803	1.087299817	0.5980788675	0	0.07594936709	0.611898017	0.6775186978	0.3651804671	0
187	0.9174567145	1.086075261	0.5980788675	0	0.07594936709	0.611898017	0.6775186978	0.3651804671	0
188	0.9178199463	1.084808093	0.5980788675	0	0.07594936709	0.611898017	0.6781002639	0.3617021277	0
189	0.9179575728	1.083731419	0.5970677452	0	0.07594936709	0.6113207547	0.6769366197	0.3609341826	0
190	0.9180166482	1.082525288	0.5970677452	0	0.07594936709	0.6113207547	0.6769366197	0.3609341826	0
191	0.9186040541	1.081344931	0.5990899899	0	0.07594936709	0.6145146089	0.6786971831	0.3617021277	0
192	0.918822674	1.080228208	0.5985844287	0	0.07594936709	0.6139359699	0.6781153677	0.3617021277	0
193	0.9189712962	1.079243206	0.5990899899	0	0.07594936709	0.6145146089	0.678996037	0.3609341826	0
194	0.9193102823	1.078183733	0.5985844287	0	0.07594936709	0.6145146089	0.6784140969	0.3601694915	0
195	0.9196212103	1.077116188	0.5995955511	0	0.07594936709	0.6145146089	0.6792951542	0.3644067797	0
196	0.9197397212	1.076140437	0.6001011122	0	0.07594936709	0.6150943396	0.6798767063	0.3644067797	0
197	0.9199417756	1.074867641	0.6011122346	0	0.07594936709	0.6169811321	0.6807573756	0.3644067797	0
198	0.9202275332	1.073658871	0.6011122346	0	0.07594936709	0.6169811321	0.6807573756	0.3644067797	0
199	0.9203944084	1.07261989	0.6006066734	0	0.07594936709	0.6169811321	0.6798767063	0.3644067797	0
200	0.9207687648	1.071432335	0.6006066734	0	0.07594936709	0.616399623	0.6801762115	0.3644067797	0
201	0.9210645597	1.070288282	0.6006066734	0	0.07594936709	0.616399623	0.6801762115	0.3644067797	0
202	0.9211761539	1.069267182	0.6006066734	0	0.07594936709	0.615819209	0.6804759806	0.3644067797	0
203	0.9212419815	1.068255293	0.6006066734	0	0.07594936709	0.615819209	0.6804759806	0.3644067797	0
204	0.9213744784	1.067183368	0.6006066734	0	0.07594936709	0.615819209	0.6804759806	0.3644067797	0
205	0.9216261147	1.066121649	0.6016177958	0	0.07594936709	0.6182846371	0.6810572687	0.3644067797	0
206	0.9218053263	1.065124435	0.6021233569	0	0.07594936709	0.6182846371	0.6813574262	0.3678646934	0
207	0.9222132436	1.064008908	0.6031344793	0	0.07594936709	0.6203007519	0.6822594881	0.3678646934	0
208	0.9225178503	1.062801801	0.6031344793	0	0.07594936709	0.6208842897	0.6825396825	0.3644067797	0
209	0.9226294861	1.061998878	0.6031344793	0	0.07594936709	0.6208842897	0.6825396825	0.3644067797	0
210	0.9226380942	1.060898925	0.6031344793	0	0.07594936709	0.6203007519	0.6822594881	0.3678646934	0
211	0.92301038	1.059785999	0.6036400404	0	0.07594936709	0.6208842897	0.6828407587	0.3678646934	0
212	0.9235008065	1.058871601	0.6031344793	0	0.07594936709	0.6208842897	0.6825396825	0.3644067797	0
213	0.9234961734	1.057979075	0.6031344793	0	0.07594936709	0.6214689266	0.6822388717	0.3644067797	0
214	0.9237978592	1.056958627	0.6021233569	0	0.07594936709	0.6208842897	0.6810763123	0.3636363636	0
215	0.9239472994	1.055844654	0.6021233569	0	0.07594936709	0.6208842897	0.6810763123	0.3636363636	0
216	0.92414879	1.054854171	0.6036400404	0	0.07594936709	0.6221804511	0.6822801591	0.3697478992	0
217	0.9243591335	1.053827235	0.6046511628	0	0.07594936709	0.6241799438	0.6831858407	0.3697478992	0
218	0.9244944673	1.05287066	0.6046511628	0	0.07594936709	0.6247654784	0.6831639417	0.3670886076	0
219	0.9248702804	1.051817445	0.605156724	0	0.07594936709	0.6241799438	0.6831858407	0.3739495798	0
220	0.924995485	1.051015128	0.6041456016	0	0.07594936709	0.6228893058	0.682581786	0.3705263158	0
221	0.925077468	1.050123733	0.6041456016	0	0.07594936709	0.6221804511	0.6828621908	0.3705263158	0
222	0.9254673226	1.049190878	0.6046511628	0	0.07594936709	0.6241799438	0.6828836798	0.3705263158	0
223	0.9257659036	1.048172609	0.605156724	0	0.07594936709	0.6221804511	0.683745583	0.3747368421	0
224	0.9259686144	1.047193272	0.605156724	0	0.07594936709	0.6228893058	0.6840707965	0.3731656184	0
225	0.92621385	1.046354244	0.6056622851	0	0.07594936709	0.6234741784	0.6846528085	0.3731656184	0
226	0.9265185063	1.045412687	0.6066734075	0	0.07594936709	0.6247654784	0.6852589641	0.3765690377	0
227	0.9266783264	1.044507422	0.6066734075	0	0.07594936709	0.6247654784	0.6852589641	0.3765690377	0
228	0.9268698407	1.043498183	0.6066734075	0	0.07594936709	0.6247654784	0.6852589641	0.3765690377	0
229	0.9269057778	1.042738936	0.6061678463	0	0.07594936709	0.6234741784	0.6849557522	0.3765690377	0
230	0.9271829757	1.041842814	0.6071789687	0	0.07594936709	0.626054358	0.6855624446	0.3765690377	0
231	0.9271859457	1.041065672	0.6061678463	0	0.07594936709	0.6248830683	0.6843971631	0.3765690377	0
232	0.9274565503	1.040124468	0.6066734075	0	0.07594936709	0.6261682243	0.6847006652	0.3765690377	0
233	0.9277682427	1.039155844	0.6066734075	0	0.07594936709	0.6254681648	0.684980062	0.3765690377	0
234	0.9280413298	1.038420065	0.6071789687	0	0.07594936709	0.6254681648	0.6852836879	0.3799582463	0
235	0.928035295	1.037554778	0.6076845298	0	0.07594936709	0.6280373832	0.6855875831	0.3765690377	0
